n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,acc_train,acc_test,f1_train,f1_test,n_features_
300,32.0,log2,5,1.0,0.9192096955622483,0.8555152394775036,0.6792545808161364,0.6302506919262357,324
200,32.0,log2,5,1.0,0.9196088392176784,0.8552249637155298,0.6785644385940346,0.62990982952911,324
300,20.0,sqrt,5,1.0,0.8868064878986901,0.8566763425253991,0.6406891702519241,0.6287234340946525,324
200,20.0,sqrt,5,1.0,0.8866794876446896,0.8565312046444122,0.6385109074332113,0.6285320675976181,324
100,20.0,sqrt,5,1.0,0.888185347799267,0.855878084179971,0.6397627487246947,0.624222434664499,324
300,20.0,sqrt,2,2.0,0.8775173264632243,0.8549346879535559,0.6187822047613214,0.6231892372871528,324
300,20.0,sqrt,5,2.0,0.8770818970209369,0.8540638606676343,0.6183690566086945,0.6225003239674777,324
200,20.0,sqrt,5,2.0,0.8772633259552234,0.8534107402031931,0.6195319660817599,0.6218502363172056,324
200,20.0,sqrt,2,2.0,0.8771363257012228,0.8534107402031931,0.6194062009896023,0.6218368590416958,324
100,20.0,sqrt,5,2.0,0.8778257556515113,0.8533381712626996,0.6177888965306007,0.6217271754231369,324
100,20.0,sqrt,2,2.0,0.8768278965129359,0.8523947750362845,0.6192202516655909,0.621048549640266,324
200,,log2,2,2.0,0.8947530752204361,0.8496371552975327,0.6282966629215256,0.6175407734767757,324
200,64.0,log2,2,2.0,0.89429950288472,0.8492017416545719,0.6290097082868157,0.6172176199806771,324
300,,log2,2,2.0,0.8945535033927211,0.8492743105950653,0.6271018001650556,0.6131127289066124,324
100,,log2,2,2.0,0.8934286440001451,0.8490566037735849,0.6251319991092203,0.6129370929328354,324
300,64.0,log2,2,2.0,0.8938277876555754,0.8488388969521045,0.6265347342866451,0.6128842980578096,324
100,64.0,log2,2,2.0,0.8926303566892848,0.8486937590711175,0.6266328195695007,0.6128120812914485,324
200,,log2,5,2.0,0.8918864980587105,0.8485486211901306,0.6216149294224148,0.6083390107976969,324
300,,log2,5,2.0,0.8926666424761421,0.8481857764876632,0.6222917417536526,0.6081742811460019,324
100,,log2,5,2.0,0.8923219275009978,0.8495645863570392,0.6187826606850723,0.6051721412306313,324
200,64.0,log2,5,2.0,0.89215864146014,0.8489114658925979,0.6218683128283308,0.6044284700970696,324
300,64.0,log2,5,2.0,0.8918864980587105,0.8484760522496372,0.6217067051856247,0.6041036176214757,324
100,64.0,log2,5,2.0,0.8917050691244239,0.8491291727140784,0.6171887410746133,0.6005502373996513,324
200,32.0,log2,5,2.0,0.8725643165572046,0.8399129172714078,0.6075561050737489,0.5997906731048382,324
300,32.0,log2,5,2.0,0.8721651729017744,0.8391872278664732,0.6060997721209026,0.5991547543222556,324
100,32.0,log2,2,2.0,0.8721470300083457,0.8386792452830188,0.6028330383907982,0.5948942604350892,324
100,32.0,log2,5,2.0,0.8711310279763417,0.8378084179970973,0.5964511090167296,0.593860183766093,324
200,32.0,log2,2,2.0,0.8723103160492035,0.8392597968069666,0.5928968299332549,0.5864722971122842,324
300,32.0,log2,2,2.0,0.8725824594506332,0.8388969521044993,0.5919939794277683,0.5861269267243961,324
200,64.0,sqrt,2,5.0,0.8848470554083965,0.8577648766328012,0.6006206587294446,0.5826670274552533,324
